ForeFlight Logbook Import,,,,,,,,,,,,,

Aircraft Table,,,,,,,,,,,,,
AircraftID,EquipmentType,TypeCode,Year,Make,Model,Category,Class,GearType,EngineType,Complex,HighPerformance,Pressurized,TAA
N376SR,,SR22,,Cirrus,SR22,,,,,FALSE,TRUE,FALSE,
N39777,,PA44,,Piper,PA44,,,,,TRUE,FALSE,FALSE,
N3994F,,P28R,,Piper,P28R,,,,,TRUE,FALSE,FALSE,
N39WT,,P28R,,Piper,P28R,,,,,TRUE,FALSE,FALSE,
N41298,,PA34,,Piper,PA34,,,,,TRUE,FALSE,FALSE,
N42RG,,P32R,,Piper,P32R,,,,,TRUE,TRUE,FALSE,
N44159,,PA34,,Piper,PA34,,,,,TRUE,FALSE,FALSE,
N4581T,,PA34,,Piper,PA34,,,,,FALSE,FALSE,FALSE,
N465TC,,P28A,,,P28A,,,,,FALSE,FALSE,FALSE,
N47455,,P28R,,Piper,P28R,,,,,TRUE,FALSE,FALSE,
N4826Q,,P28R,,Piper,P28R,,,,,TRUE,FALSE,FALSE,
N4AW,,C177,,,C177,,,,,TRUE,FALSE,FALSE,
N57368,,PA34,,Piper,PA34,,,,,FALSE,FALSE,FALSE,
N6612V,,C72R,,,C72R,,,,,TRUE,FALSE,FALSE,
N714UY,,C152,,Cessna,C152,,,,,FALSE,FALSE,FALSE,
N775SP,,C172,,Cessna,C172,,,,,FALSE,FALSE,FALSE,
N8292A,,P28A,,,P28A,,,,,FALSE,FALSE,FALSE,
N83223,,PA44,,Piper,PA44,,,,,TRUE,FALSE,FALSE,
N9209A,,PA38,,,PA38,,,,,FALSE,FALSE,FALSE,
NL-203Z,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
NL98/8,,B200,,Beechcraft,B200,,,,,FALSE,FALSE,FALSE,
NoTAIL,,Model X,,,Model X,,,,,FALSE,FALSE,FALSE,
OE-IIS,,G500,,Gulfstream,G500,,,,,TRUE,TRUE,FALSE,
OE-LAR,,G450,,Gulfstream,G450,,,,,TRUE,FALSE,FALSE,
OK-ABC,,C172,,Cessna,C172,,,,,FALSE,FALSE,FALSE,
OK-EYE,,C172,,Cessna,C172,,,,,FALSE,FALSE,FALSE,
OK-FOX,,C150,,Cessna,C150,,,,,FALSE,FALSE,FALSE,
OK-HAD,,C152,,Cessna,C152,,,,,FALSE,FALSE,FALSE,
OK-HKC,,C150,,Cessna,C150,,,,,FALSE,FALSE,FALSE,
OK-JFK,,ATR42,,,ATR42,,,,,FALSE,FALSE,FALSE,
OK-KUN,,C172,,Cessna,C172,,,,,FALSE,FALSE,FALSE,
OK-LNK,,Z142,,Zlin,Z142,,,,,TRUE,TRUE,FALSE,
OK-MEX,,PA34,,,PA34,,,,,FALSE,FALSE,FALSE,
OK-OKA,,C152,,Cessna,C152,,,,,FALSE,FALSE,FALSE,
OK-OKB,,C172,,Cessna,C172,,,,,FALSE,FALSE,FALSE,
OK-OKG,,C150,,CESSNA,C150,,,,,FALSE,FALSE,FALSE,
OK-PES,,C150,,Cessna,C150,,,,,FALSE,FALSE,FALSE,
OK-RTA,,SR22,,Cirrus,SR22,,,,,TRUE,TRUE,FALSE,
OK-SOB,,C172,,Cessna,C172,,,,,FALSE,FALSE,FALSE,
OK-SUP,,C152,,Cessna,C152,,,,,FALSE,FALSE,FALSE,
OK-TUR,,C172,,Cessna,C172,,,,,FALSE,FALSE,FALSE,
OK-TWI,,SR20,,Cirrus,SR20,,,,,FALSE,TRUE,FALSE,
PH-ACH,,C150,,Cessna,C150,,,,,FALSE,FALSE,FALSE,
PH-ALI,,C150,,Cessna,C150,,,,,FALSE,FALSE,FALSE,
PH-ASY,,C172,,Cessna,C172,,,,,FALSE,FALSE,FALSE,
PH-BVL,,C172,,Cessna,C172,,,,,FALSE,FALSE,FALSE,
PH-DAG,,M20J,,Mooney,M20J,,,,,TRUE,TRUE,FALSE,
PH-EDD,,P28A,,,P28A,,,,,FALSE,FALSE,FALSE,
PH-EVS,,F132,,,F132,,,,,FALSE,FALSE,FALSE,
PH-GRA,,C150,,Cessna,C150,,,,,FALSE,FALSE,FALSE,
PH-GVE,,C172,,Cessna,C172,,,,,FALSE,FALSE,FALSE,
PH-HIL,,C150,,Cessna,C150,,,,,FALSE,FALSE,FALSE,
PH-LFD,,P32R,,Piper,P32R,,,,,TRUE,TRUE,FALSE,
PH-LIN,,C172,,Cessna,C172,,,,,FALSE,FALSE,FALSE,
PH-OSD,,BE76,,,BE76,,,,,TRUE,FALSE,FALSE,
PH-PIE,,P28R,,Piper,P28R,,,,,TRUE,FALSE,FALSE,
PH-RCF,,C172,,Cessna,C172,,,,,FALSE,FALSE,FALSE,
PH-RVX,,C150,,Cessna,C150,,,,,FALSE,FALSE,FALSE,
PH-SKF,,C150,,Cessna,C150,,,,,FALSE,FALSE,FALSE,
PH-SVS,,F121,,,F121,,,,,FALSE,FALSE,FALSE,
PH-VRW,,C150,,Cessna,C150,,,,,FALSE,FALSE,FALSE,
PH-WCU,,P28R,,Piper,P28R,,,,,TRUE,FALSE,FALSE,
PH-WSF,,P28A,,,P28A,,,,,FALSE,FALSE,FALSE,
SIM,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
SIMA319,,A319,,Airbus,A319,,,,,FALSE,FALSE,FALSE,
SIMA320,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
SP-KSO,,C150,,Cessna,C150,,,,,FALSE,FALSE,FALSE,
SP-RBA,,C152,,Cessna,C152,,,,,FALSE,FALSE,FALSE,
TC-JAI,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JBI,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JFR,,A321,,,A321,,,,,FALSE,FALSE,FALSE,
TC-JLM,,A319,,Airbus,A319,,,,,FALSE,FALSE,FALSE,
TC-JLN,,A319,,Airbus,A319,,,,,FALSE,FALSE,FALSE,
TC-JLP,,A319,,Airbus,A319,,,,,FALSE,FALSE,FALSE,
TC-JLR,,A319,,Airbus,A319,,,,,FALSE,FALSE,FALSE,
TC-JLS,,A319,,Airbus,A319,,,,,FALSE,FALSE,FALSE,
TC-JLT,,A319,,Airbus,A319,,,,,FALSE,FALSE,FALSE,
TC-JLU,,A319,,Airbus,A319,,,,,FALSE,FALSE,FALSE,
TC-JLV,,A319,,Airbus,A319,,,,,FALSE,FALSE,FALSE,
TC-JLY,,A319,,Airbus,A319,,,,,FALSE,FALSE,FALSE,
TC-JLZ,,A319,,Airbus,A319,,,,,FALSE,FALSE,FALSE,
TC-JMH,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JMI,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JMJ,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JMK,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JML,,A321,,Airbus,A321,,,,,FALSE,FALSE,FALSE,
TC-JMM,,A320,,,A320,,,,,FALSE,FALSE,FALSE,
TC-JPA,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPB,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPC,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPD,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
TC-JPF,,A320,,Airbus,A320,,,,,FALSE,FALSE,FALSE,
